0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.826903738121336218e-02,7.902806740606969083e-01,7.662568718115609911e-01,4.418859969864455950e-01,7.207482650335017560e-01
8.510065943882043626e-01,3.746702642771668756e-01,9.087607949508336169e-02,2.724219694497116429e-01,4.349081255177913441e-01
9.997408105445789728e-01,1.740334153098365144e-01,3.680525664690463827e-01,5.404402121635977219e-01,7.693545932754269900e-01
8.750543073230410140e-02,6.745475352795577972e-01,9.622681616463409915e-01,9.919852971379351514e-01,9.974499747547198591e-01
5.952793516089904813e-03,4.097099810733455527e-01,9.480258153429133028e-02,4.618562249880393544e-01,2.689846671051746574e-01
4.761763566262431358e-01,4.191466818559451690e-01,9.390718127495791823e-01,7.181245411096864872e-01,3.533868136784416025e-01
3.143813731415304735e-01,8.107886209252510579e-01,7.236927608071855866e-01,8.142848044794033235e-01,8.266598252124371937e-01
6.511133274117284486e-01,5.188631434654840113e-01,6.024068875607265783e-01,2.062291052266802538e-01,2.960376396432055079e-01
2.928579097146345456e-01,4.412036830737198212e-01,5.558868887399640579e-01,5.585471744765954094e-01,2.397143324747070814e-01
