0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.755554483121093412e-01,3.985909497217710040e-01,7.818407768436611560e-01,9.778673684864020998e-01,1.607918948019455563e-01
4.097368678152036869e-01,8.714917564469361055e-01,2.037240364151317040e-01,5.764622543681899858e-01,2.656123246454950015e-01
7.072496691866952956e-01,9.773866849053952643e-01,6.950240725294007937e-01,3.284291323690646802e-01,9.655627521720822060e-01
7.620524291158798924e-01,3.642788239418085494e-01,2.186020062132544295e-01,6.580822556749021945e-02,8.540564789225617570e-01
7.379890807329172464e-01,2.325135249325890330e-01,5.265367987929980842e-01,8.961052298626741575e-01,9.499038443745427829e-01
2.366434148923864944e-01,7.115201621589868353e-01,2.982997738995705195e-01,9.076253606186680534e-01,9.663849120891668809e-01
5.962313855574192800e-01,4.752104555648666295e-01,7.468075870295516339e-01,1.319480562714203664e-02,3.625329981221808717e-01
9.653776821798234486e-01,4.924724533097577517e-01,4.619816819859022816e-01,8.389995860315748732e-01,6.842889424566842571e-01
4.909708726281214464e-02,7.749835015773979263e-01,7.469728505123232054e-01,7.641454592300565007e-01,6.870689290257266935e-01
